CO_UF;NO_UF;CO_MUNICIPIO;NO_MUNICIPIO;DEPENDENCIA_ADM;LOCALIZACAO;MEDIA_5_LP;MEDIA_5_MT;MEDIA
12;Acre;1200427;Rodrigues Alves;Municipal;Total;196,47;209,16;202,815
12;Acre;1200435;Santa Rosa do Purus;Municipal;Total;157,53;170,73;164,13
12;Acre;1200450;Senador Guiomard;Municipal;Total;216,09;232,02;224,055
12;Acre;1200500;Sena Madureira;Municipal;Total;228,51;231,57;230,04
12;Acre;1200609;Tarauacá;Municipal;Total;204,17;222,15;213,16
12;Acre;1200708;Xapuri;Municipal;Total;197,53;203,71;200,62
12;Acre;1200807;Porto Acre;Municipal;Total;204,31;212,49;208,4
13;Amazonas;1300029;Alvarães;Municipal;Total;163,64;178,07;170,855
13;Amazonas;1300060;Amaturá;Municipal;Total;154,46;170,12;162,29
13;Amazonas;1300086;Anamã;Municipal;Total;178,9;183,76;181,33
13;Amazonas;1300102;Anori;Municipal;Total;205,56;211,64;208,6
13;Amazonas;1300144;Apuí;Municipal;Total;192,69;197,48;195,085
13;Amazonas;1300201;Atalaia do Norte;Municipal;Total;172,26;185,82;179,04
13;Amazonas;1300300;Autazes;Municipal;Total;159,73;172,34;166,035
13;Amazonas;1300409;Barcelos;Municipal;Total;177,91;190,73;184,32
13;Amazonas;1300508;Barreirinha;Municipal;Total;155,63;168,23;161,93
13;Amazonas;1300607;Benjamin Constant;Municipal;Total;158,23;173,7;165,965
13;Amazonas;1300631;Beruri;Municipal;Total;175,76;199,83;187,795
13;Amazonas;1300680;Boa Vista do Ramos;Municipal;Total;141,31;162,14;151,725
13;Amazonas;1300706;Boca do Acre;Municipal;Total;201,91;222,96;212,435
13;Amazonas;1300805;Borba;Municipal;Total;182,31;192,46;187,385
13;Amazonas;1300839;Caapiranga;Municipal;Total;173,84;177,97;175,905
13;Amazonas;1300904;Canutama;Municipal;Total;169,15;185,18;177,165
13;Amazonas;1301001;Carauari;Municipal;Total;182,51;196,86;189,685
13;Amazonas;1301100;Careiro;Municipal;Total;173,54;186,67;180,105
13;Amazonas;1301159;Careiro da Várzea;Municipal;Total;177,59;183,71;180,65
13;Amazonas;1301209;Coari;Municipal;Total;163,82;175,56;169,69
13;Amazonas;1301308;Codajás;Municipal;Total;176,09;190,16;183,125
13;Amazonas;1301407;Eirunepé;Municipal;Total;161,75;176,96;169,355
13;Amazonas;1301506;Envira;Municipal;Total;159,52;181,14;170,33
13;Amazonas;1301605;Fonte Boa;Municipal;Total;161,03;169,27;165,15
13;Amazonas;1301654;Guajará;Municipal;Total;173,65;181,62;177,635
13;Amazonas;1301704;Humaitá;Municipal;Total;175,54;182,86;179,2
13;Amazonas;1301803;Ipixuna;Municipal;Total;163,76;175,01;169,385
13;Amazonas;1301852;Iranduba;Municipal;Total;182,6;190,27;186,435
13;Amazonas;1301902;Itacoatiara;Municipal;Total;185,24;194,33;189,785
13;Amazonas;1301951;Itamarati;Municipal;Total;180,14;200,34;190,24
13;Amazonas;1302009;Itapiranga;Municipal;Total;188,02;188,74;188,38
13;Amazonas;1302108;Japurá;Municipal;Total;194,23;216,81;205,52
13;Amazonas;1302207;Juruá;Municipal;Total;169,4;177,82;173,61
13;Amazonas;1302306;Jutaí;Municipal;Total;165,09;175,97;170,53
13;Amazonas;1302405;Lábrea;Municipal;Total;165,29;175,47;170,38
13;Amazonas;1302504;Manacapuru;Municipal;Total;193,07;198,38;195,725
13;Amazonas;1302553;Manaquiri;Municipal;Total;168,25;173,98;171,115
13;Amazonas;1302603;Manaus;Municipal;Total;214,96;223,16;219,06
13;Amazonas;1302702;Manicoré;Municipal;Total;186,6;196,27;191,435
13;Amazonas;1302801;Maraã;Municipal;Total;153,42;168,26;160,84
13;Amazonas;1302900;Maués;Municipal;Total;179,95;191,94;185,945
13;Amazonas;1303007;Nhamundá;Municipal;Total;186,67;202,48;194,575
13;Amazonas;1303106;Nova Olinda do Norte;Municipal;Total;170,32;178,93;174,625
13;Amazonas;1303205;Novo Airão;Municipal;Total;197,32;216,89;207,105
13;Amazonas;1303304;Novo Aripuanã;Municipal;Total;169,8;181,39;175,595
13;Amazonas;1303403;Parintins;Municipal;Total;192,46;199,85;196,155
13;Amazonas;1303502;Pauini;Municipal;Total;169,83;187,57;178,7
13;Amazonas;1303536;Presidente Figueiredo;Municipal;Total;201,93;204,78;203,355
13;Amazonas;1303569;Rio Preto da Eva;Municipal;Total;185,87;193,57;189,72
13;Amazonas;1303601;Santa Isabel do Rio Negro;Municipal;Total;176,05;177,31;176,68
13;Amazonas;1303700;Santo Antônio do Içá;Municipal;Total;161,39;175,68;168,535
13;Amazonas;1303809;São Gabriel da Cachoeira;Municipal;Total;164,1;171,58;167,84
13;Amazonas;1303908;São Paulo de Olivença;Municipal;Total;146,99;162,58;154,785
13;Amazonas;1303957;São Sebastião do Uatumã;Municipal;Total;200,69;203,94;202,315
13;Amazonas;1304005;Silves;Municipal;Total;165,44;183,72;174,58
13;Amazonas;1304062;Tabatinga;Municipal;Total;158,19;173,96;166,075
13;Amazonas;1304104;Tapauá;Municipal;Total;185,12;189,83;187,475
13;Amazonas;1304203;Tefé;Municipal;Total;176;187,69;181,845
13;Amazonas;1304237;Tonantins;Municipal;Total;162,63;176,07;169,35
13;Amazonas;1304260;Uarini;Municipal;Total;157,63;169,21;163,42
13;Amazonas;1304302;Urucará;Municipal;Total;194,48;197,84;196,16
13;Amazonas;1304401;Urucurituba;Municipal;Total;162,03;170,67;166,35
14;Roraima;1400027;Amajari;Municipal;Total;170,97;181,47;176,22
14;Roraima;1400050;Alto Alegre;Municipal;Total;181,5;192,08;186,79
14;Roraima;1400100;Boa Vista;Municipal;Total;208,39;225,02;216,705
14;Roraima;1400159;Bonfim;Municipal;Total;168,36;179,77;174,065
14;Roraima;1400175;Cantá;Municipal;Total;175,91;183,75;179,83
14;Roraima;1400209;Caracaraí;Municipal;Total;184,46;196,28;190,37
14;Roraima;1400233;Caroebe;Municipal;Total;182,54;196,26;189,4
14;Roraima;1400282;Iracema;Municipal;Total;180,44;186,46;183,45
14;Roraima;1400308;Mucajaí;Municipal;Total;174,88;184,68;179,78
14;Roraima;1400407;Normandia;Municipal;Total;180,83;185,79;183,31
14;Roraima;1400456;Pacaraima;Municipal;Total;190,68;198,86;194,77
14;Roraima;1400472;Rorainópolis;Municipal;Total;182,63;192,67;187,65
14;Roraima;1400506;São João da Baliza;Municipal;Total;176,57;187,47;182,02
14;Roraima;1400605;São Luiz;Municipal;Total;181,48;192,33;186,905
14;Roraima;1400704;Uiramutã;Municipal;Total;176,61;182,65;179,63
15;Pará;1500107;Abaetetuba;Municipal;Total;184,42;194,06;189,24
15;Pará;1500131;Abel Figueiredo;Municipal;Total;197,83;212,61;205,22
15;Pará;1500206;Acará;Municipal;Total;162,83;176,88;169,855
15;Pará;1500305;Afuá;Municipal;Total;168,14;182,64;175,39
15;Pará;1500347;Água Azul do Norte;Municipal;Total;169,28;178,35;173,815
15;Pará;1500404;Alenquer;Municipal;Total;170,2;178,77;174,485
15;Pará;1500503;Almeirim;Municipal;Total;167,27;177,39;172,33
15;Pará;1500602;Altamira;Municipal;Total;207,24;213,49;210,365
15;Pará;1500701;Anajás;Municipal;Total;157,59;172,58;165,085
15;Pará;1500800;Ananindeua;Municipal;Total;200,71;205,03;202,87
15;Pará;1500859;Anapu;Municipal;Total;177,77;185,01;181,39
15;Pará;1500909;Augusto Corrêa;Municipal;Total;168,12;179,03;173,575
15;Pará;1500958;Aurora do Pará;Municipal;Total;186,08;195,79;190,935
15;Pará;1501006;Aveiro;Municipal;Total;170,47;175,24;172,855
15;Pará;1501105;Bagre;Municipal;Total;180,86;196,41;188,635
15;Pará;1501204;Baião;Municipal;Total;160,84;175,97;168,405
15;Pará;1501253;Bannach;Municipal;Total;179,08;190,19;184,635
15;Pará;1501303;Barcarena;Municipal;Total;183,01;189,52;186,265
15;Pará;1501402;Belém;Municipal;Total;200,19;204,97;202,58
15;Pará;1501451;Belterra;Municipal;Total;189,17;196,52;192,845
15;Pará;1501501;Benevides;Municipal;Total;211,38;232,33;221,855
15;Pará;1501576;Bom Jesus do Tocantins;Municipal;Total;195,59;206,26;200,925
15;Pará;1501600;Bonito;Municipal;Total;172,2;179,47;175,835
15;Pará;1501709;Bragança;Municipal;Total;169,82;178,29;174,055
15;Pará;1501725;Brasil Novo;Municipal;Total;201,55;211,48;206,515
15;Pará;1501758;Brejo Grande do Araguaia;Municipal;Total;172,98;187,42;180,2
15;Pará;1501782;Breu Branco;Municipal;Total;177,27;184,96;181,115
15;Pará;1501808;Breves;Municipal;Total;175,22;187,13;181,175
