CODIGO MUNICIPIO IBGE;NOME ENTE;NOTA-GERAL;FAIXA GERAL; I-EDUC;FAIXA;I-SAUDE;FAIXA; I-PLANEJAMENTO;FAIXA; I-FISCAL;FAIXA; I-AMBIENTE;FAIXA; I-CIDADE;FAIXA;I-GOV-TI;FAIXA
5200050;Abadia de Goiás;57.28;C+;67.0;B;69.0;B;29.42;C;70.0;B;71.0;B;20.0;C;42.0;C
5200100;Abadiânia;48.76;C;55.0;C+;65.0;B;26.54;C;60.0;B;42.0;C;10.0;C;55.0;C+
1500107;Abaetetuba;58.8;C+;46.0;C;77.0;B+;25.77;C;78.25;B+;62.0;B;75.0;B+;69.0;B
2300101;ABAIARA;47.31;C;63.0;B;67.0;B;29.04;C;46.0;C;42.0;C;0.0;C;42.0;C
2900108;ABAIRA                                                      ;43.13;C;57.0;C+;75.0;B+;9.42;C;60.0;B;7.0;C;0.0;C;43.0;C
2900207;ABARE                                                       ;44.46;C;64.0;B;66.0;B;25.0;C;35.79;C;34.0;C;0.0;C;58.0;C+
4200051;Abdon Batista;72.55;B;59.0;C+;98.0;A;50.0;C+;76.25;B+;74.0;B;93.0;A;77.0;B+
1500131;Abel Figueiredo;51.84;C+;50.0;C+;66.0;B;30.58;C;70.37;B;69.0;B;0.0;C;31.0;C
4200101;Abelardo Luz;61.0;B;74.0;B;71.0;B;30.77;C;78.25;B+;40.0;C;68.0;B;56.0;C+
2600054;Abreu e Lima;47.65;C;35.0;C;55.0;C+;27.69;C;59.82;C+;61.0;B;77.0;B+;44.0;C
1700251;Abreulândia;54.72;C+;52.0;C+;89.0;B+;28.08;C;51.79;C+;58.0;C+;20.0;C;75.0;B+
2900306;ACAJUTIBA                                                   ;49.12;C;51.0;C+;84.0;B+;28.85;C;70.0;B;9.0;C;0.0;C;29.0;C
2300150;ACARAPE;44.95;C;41.0;C;69.0;B;26.73;C;60.0;B;34.0;C;0.0;C;44.0;C
2300200;ACARAÚ;52.45;C+;47.0;C;82.0;B+;25.0;C;66.77;B;34.0;C;50.0;C+;48.0;C
2400109;Acari;52.97;C+;59.0;C+;76.0;B+;30.58;C;65.29;B;46.0;C;0.0;C;44.0;C
1500206;Acará;43.25;C;18.0;C;54.0;C+;35.38;C;67.86;B;22.0;C;75.0;B+;45.0;C
2200053;ACAUA;53.95;C+;74.0;B;59.0;C+;45.77;C;70.0;B;24.0;C;0.0;C;36.0;C
4300034;ACEGUÁ;62.41;B;41.0;C;65.0;B;42.31;C;90.0;A;68.0;B;80.0;B+;79.0;B+
2300309;ACOPIARA;49.06;C;38.0;C;67.0;B;25.0;C;72.29;B;65.0;B;0.0;C;42.0;C
1200013;Acrelândia;48.24;C;50.0;C+;81.0;B+;1.54;C;57.43;C+;46.0;C;77.0;B+;36.0;C
5200134;Acreúna;55.45;C+;72.0;B;80.0;B+;50.0;C+;36.49;C;45.0;C;10.0;C;55.0;C+
5200159;Adelândia;55.06;C+;69.0;B;94.0;A;28.65;C;50.39;C+;45.0;C;0.0;C;43.0;C
2900355;ADUSTINA                                                    ;41.65;C;44.0;C;59.0;C+;25.0;C;70.0;B;2.0;C;0.0;C;37.0;C
2600104;Afogados da Ingazeira;64.06;B;58.0;C+;84.0;B+;35.38;C;69.18;B;80.0;B+;82.0;B+;53.0;C+
2400307;Afonso Bezerra;51.45;C+;65.0;B;79.0;B+;12.5;C;60.0;B;29.0;C;48.0;C;57.0;C+
3200102;Afonso Cláudio;57.91;C+;44.0;C;54.0;C+;26.54;C;87.75;B+;79.0;B+;82.0;B+;69.0;B
2100105;Afonso Cunha;50.22;C+;58.0;C+;73.0;B;19.38;C;88.71;B+;20.0;C;0.0;C;8.0;C
2600203;Afrânio;46.26;C;49.0;C;74.0;B;25.0;C;55.57;C+;7.0;C;40.0;C;57.0;C+
1500305;Afuá;45.2;C;38.0;C;62.0;B;25.0;C;63.27;B;62.0;B;0.0;C;27.0;C
2600302;Agrestina;55.42;C+;41.0;C;80.0;B+;27.5;C;60.61;B;60.0;B;83.0;B+;69.0;B
2200103;AGRICOLANDIA;53.86;C+;55.0;C+;46.0;C;32.5;C;82.04;B+;40.0;C;87.0;B+;48.0;C
4200200;Agrolândia;61.32;B;71.0;B;76.0;B+;25.58;C;80.0;B+;49.0;C;40.0;C;78.0;B+
4200309;Agronômica;51.57;C+;56.0;C+;67.0;B;6.35;C;77.75;B+;46.0;C;72.0;B;39.0;C
2200202;AGUA BRANCA;62.72;B;61.0;B;67.0;B;50.0;C+;75.11;B+;49.0;C;85.0;B+;59.0;C+
2700102;Agua Branca;47.19;C;52.0;C+;83.0;B+;26.15;C;46.8;C;9.0;C;53.0;C+;41.0;C
2900405;AGUA FRIA                                                   ;43.95;C;55.0;C+;70.0;B;25.0;C;47.5;C;19.0;C;0.0;C;51.0;C+
4300109;AGUDO;68.84;B;74.0;B;78.0;B+;43.85;C;88.58;B+;61.0;B;58.0;C+;59.0;C+
2500205;Aguiar;52.54;C+;71.0;B;77.0;B+;50.0;C+;48.21;C;2.0;C;10.0;C;52.0;C+
1700301;Aguiarnópolis;53.28;C+;46.0;C;76.0;B+;70.96;B;59.71;C+;13.0;C;3.0;C;26.0;C
2900603;AIQUARA                                                     ;38.87;C;59.0;C+;57.0;C+;25.0;C;47.86;C;2.0;C;0.0;C;18.0;C
2300408;AIUABA;62.73;B;52.0;C+;68.0;B;28.65;C;99.0;A;53.0;C+;92.0;A;66.0;B
4300208;AJURICABA;62.38;B;69.0;B;70.0;B;38.65;C;88.0;B+;44.0;C;60.0;B;37.0;C
2500304;Alagoa Grande;53.84;C+;70.0;B;74.0;B;30.19;C;60.0;B;44.0;C;20.0;C;32.0;C
2500403;Alagoa Nova;42.2;C;61.0;B;55.0;C+;25.0;C;51.76;C+;15.0;C;3.0;C;40.0;C
2500502;Alagoinha;52.21;C+;53.0;C+;91.0;A;30.19;C;64.85;B;28.0;C;0.0;C;32.0;C
2600609;Alagoinha;50.74;C+;60.0;B;75.0;B+;34.04;C;58.68;C+;4.0;C;67.0;B;29.0;C
2200251;ALAGOINHA DO PIAUI;44.99;C;58.0;C+;48.0;C;39.04;C;49.66;C;21.0;C;40.0;C;39.0;C
2900702;ALAGOINHAS                                                  ;55.46;C+;58.0;C+;72.0;B;31.73;C;64.56;B;40.0;C;50.0;C+;74.0;B
2500536;Alcantil;57.65;C+;55.0;C+;74.0;B;38.27;C;70.0;B;58.0;C+;70.0;B;18.0;C
5000252;ALCINÓPOLIS;64.62;B;68.0;B;81.0;B+;28.85;C;76.0;B+;76.0;B+;62.0;B;63.0;B
2900801;ALCOBACA                                                    ;51.07;C+;44.0;C;77.0;B+;25.0;C;54.11;C+;79.0;B+;0.0;C;63.0;B
2100204;Alcântara;39.7;C;38.0;C;78.0;B+;25.0;C;39.23;C;21.0;C;0.0;C;31.0;C
2300507;ALCÂNTARAS;50.91;C+;67.0;B;78.0;B+;26.92;C;54.11;C+;29.0;C;10.0;C;46.0;C
2100303;Aldeias Altas;41.28;C;35.0;C;63.0;B;40.58;C;47.55;C;20.0;C;20.0;C;21.0;C
4300307;ALECRIM;75.68;B+;74.0;B;93.0;A;41.92;C;90.0;A;75.0;B+;97.0;A;71.0;B
3200201;Alegre;58.54;C+;54.0;C+;68.0;B;25.0;C;72.18;B;74.0;B;80.0;B+;66.0;B
4300406;ALEGRETE;71.11;B;66.0;B;77.0;B+;79.81;B+;68.5;B;46.0;C;90.0;A;75.0;B+
2200277;ALEGRETE DO PIAUI;54.7;C+;62.0;B;59.0;C+;25.0;C;80.0;B+;59.0;C+;40.0;C;32.0;C
4300455;ALEGRIA;66.14;B;66.0;B;78.0;B+;35.19;C;86.25;B+;72.0;B;80.0;B+;37.0;C
2400505;Alexandria;54.2;C+;69.0;B;82.0;B+;26.35;C;57.39;C+;18.0;C;65.0;B;44.0;C
5200308;Alexânia;48.14;C;36.0;C;85.0;B+;28.46;C;60.0;B;27.0;C;5.0;C;66.0;B
3200300;Alfredo Chaves;59.82;C+;68.0;B;52.0;C+;31.35;C;75.0;B+;68.0;B;83.0;B+;72.0;B
4200705;Alfredo Wagner;62.21;B;72.0;B;75.0;B+;39.04;C;78.0;B+;33.0;C;52.0;C+;70.0;B
2500577;Algodão de Jandaíra;44.75;C;63.0;B;39.0;C;25.0;C;64.0;B;28.0;C;30.0;C;45.0;C
2500601;Alhandra;49.96;C;54.0;C+;65.0;B;26.54;C;78.75;B+;24.0;C;20.0;C;34.0;C
2600708;Aliança;41.25;C;38.0;C;76.0;B+;25.0;C;51.0;C+;9.0;C;5.0;C;42.0;C
1700350;Aliança do Tocantins;49.78;C;61.0;B;85.0;B+;25.0;C;41.15;C;29.0;C;20.0;C;69.0;B
2900900;ALMADINA                                                    ;41.97;C;47.0;C;62.0;B;1.35;C;68.5;B;47.0;C;0.0;C;30.0;C
1700400;Almas;55.49;C+;64.0;B;58.0;C+;25.19;C;70.0;B;68.0;B;60.0;B;45.0;C
1500503;Almeirim;26.35;C;25.0;C;66.0;B;0.0;C;10.0;C;2.0;C;58.0;C+;61.0;B
2400604;Almino Afonso;57.4;C+;44.0;C;75.0;B+;25.0;C;80.0;B+;40.0;C;75.0;B+;97.0;A
